,lead_id,village,distance_from_darab_km,property_type,usage_purpose,electricity_access,lead_source,required_appliances,estimated_daily_energy_need_kwh,quoted_price_m_toman,purchased,purchase_probability,lead_score,priority_level
143,L0144,Hasan Abad,10.3,farm,agriculture,unstable,instagram,"pump,fridge",8.1,547.1,1,0.7011606454112949,70.1,High
144,L0145,Madavan,28.6,farm,agriculture,unstable,local_ad,"pump,lights",10.8,670.9,1,0.6426122922208993,64.3,Medium
145,L0146,Rostaq,69.1,farm,agriculture,unstable,returning_customer,"pump,lights",9.0,668.3,1,0.7929038690863829,79.3,High
146,L0147,Sangcharak,5.8,farm,seasonal_garden,none,instagram,"pump,fridge",10.2,608.3,1,0.4390112106050765,43.9,Medium
147,L0148,Khosouyeh,42.8,rural_house,mixed_use,none,referral,"AC,fridge,lights",11.8,589.9,1,0.6121918267242754,61.2,Medium
148,L0149,Nidshahr,4.7,garden_house,seasonal_garden,unstable,instagram,"lights,fridge,TV",6.4,375.5,0,0.2568693958326523,25.7,Low
149,L0150,Sangcharak,5.1,garden_house,seasonal_garden,none,referral,lights,2.1,158.8,0,0.32917285341751856,32.9,Low
150,L0151,Jamsi,22.0,farm,agriculture,unstable,referral,pump,8.0,570.6,1,0.8402069947600412,84.0,High
151,L0152,Khosouyeh,42.1,garden_house,mixed_use,unstable,instagram,"AC,fridge",9.8,455.4,0,0.2707800967537448,27.1,Low
152,L0153,Shahanan,7.8,farm,agriculture,unstable,referral,"pump,fridge",11.2,696.1,0,0.7989010916880284,79.9,High
153,L0154,Nidshahr,6.0,rural_house,primary_residence,none,referral,"AC,fridge,lights",11.9,615.4,1,0.6105050922962741,61.1,Medium
154,L0155,Dabiran,66.4,garden_house,,none,referral,"lights,fridge,TV",5.1,292.4,1,0.656097835101977,65.6,Medium
155,L0156,Sangcharak,8.3,farm,agriculture,none,instagram,"pump,fridge",10.4,707.1,0,0.7554916628666408,75.5,High
156,L0157,Shamsabad,17.0,garden_house,mixed_use,none,referral,"lights,fridge",4.4,274.6,1,0.709315786969754,70.9,High
157,L0158,Sangcharak,5.6,rural_house,mixed_use,none,referral,"AC,fridge",10.6,620.8,0,0.6303425929668547,63.0,Medium
158,L0159,Hasan Abad,12.2,garden_house,mixed_use,none,referral,"lights,fridge",4.4,290.8,1,0.7198780408963966,72.0,High
159,L0160,Dabiran,69.4,farm,primary_residence,none,returning_customer,pump,9.0,637.4,1,0.7743033860273593,77.4,High
160,L0161,Dabiran,70.7,farm,agriculture,none,referral,pump,10.0,627.5,1,0.8156492410440633,81.6,High
161,L0162,Layzangan,82.2,farm,agriculture,unstable,referral,"pump,lights",8.1,592.0,1,0.7056639937306712,70.6,High
162,L0163,Bargan,8.8,rural_house,mixed_use,none,instagram,"lights,fridge",5.5,332.2,1,0.6582647738844197,65.8,Medium
163,L0164,Dabiran,71.4,garden_house,seasonal_garden,none,local_ad,"lights,fridge",4.2,290.1,0,0.2948663750065467,29.5,Low
164,L0165,Jamsi,18.4,farm,agriculture,unstable,instagram,"pump,lights",8.2,610.0,0,0.6800902444251289,68.0,Medium
165,L0166,Jamsi,14.2,farm,agriculture,none,referral,"pump,fridge",11.1,833.9,1,0.8525921864805198,85.3,High
166,L0167,Morvarid,33.5,rural_house,primary_residence,none,local_ad,"lights,fridge",5.3,314.8,0,0.5566424542648228,55.7,Medium
167,L0168,Khosouyeh,42.1,farm,seasonal_garden,unstable,referral,"pump,lights",7.6,568.4,1,0.46803624018959844,46.8,Medium
168,L0169,Shahanan,8.0,rural_house,primary_residence,unstable,referral,"lights,fridge,TV",6.4,336.2,0,0.5844379163253266,58.4,Medium
169,L0170,Nidshahr,6.1,garden_house,seasonal_garden,unstable,instagram,"AC,fridge",10.7,556.4,0,0.17298282537123935,17.3,Low
170,L0171,Bargan,5.5,farm,primary_residence,none,returning_customer,"pump,fridge",10.1,722.3,1,0.8048004606143591,80.5,High
171,L0172,Hasan Abad,16.1,farm,agriculture,none,instagram,"pump,lights",9.9,639.2,1,0.7173126962002928,71.7,High
172,L0173,Hasan Abad,14.5,farm,agriculture,none,referral,"pump,fridge",11.5,833.4,1,0.8483516900305802,84.8,High
173,L0174,Pasakhan,26.8,farm,agriculture,none,referral,"pump,fridge",10.1,612.3,1,0.8168801225549763,81.7,High
174,L0175,Jannat Shahr,24.8,garden_house,seasonal_garden,none,referral,lights,2.1,190.8,0,0.3069881222050732,30.7,Low
175,L0176,Shahanan,11.7,farm,mixed_use,unstable,local_ad,"pump,lights",7.7,523.7,1,0.5873680747742085,58.7,Medium
176,L0177,Dabiran,69.3,garden_house,seasonal_garden,none,returning_customer,"lights,TV",2.4,175.7,1,0.44998586526579776,45.0,Medium
177,L0178,Tizab,14.3,farm,agriculture,none,referral,"pump,lights",8.0,496.1,1,0.8189732069204372,81.9,High
178,L0179,Nidshahr,1.5,farm,seasonal_garden,unstable,referral,"lights,fridge",3.5,231.2,1,0.6715280049508362,67.2,Medium
179,L0180,Banouj,18.1,garden_house,mixed_use,none,returning_customer,"AC,fridge",10.8,585.4,1,0.6094387245384184,60.9,Medium
180,L0181,Jamsi,18.8,garden_house,primary_residence,unstable,instagram,"lights,fridge",5.0,256.3,1,0.42269305129020546,42.3,Medium
181,L0182,Bargan,11.1,farm,agriculture,none,local_ad,"pump,lights",8.7,581.1,1,0.7366362621123272,73.7,High
182,L0183,Bakhtajerd,13.3,garden_house,seasonal_garden,unstable,referral,"lights,TV",2.4,134.2,0,0.3839160530058638,38.4,Low
183,L0184,Bakhtajerd,16.2,farm,agriculture,unstable,local_ad,"pump,lights",9.6,601.4,0,0.665502373980643,66.6,Medium
184,L0185,Sangcharak,7.3,garden_house,agriculture,unstable,referral,"pump,fridge",8.5,594.7,1,0.6578297762476982,65.8,Medium
185,L0186,Jannat Shahr,24.1,farm,seasonal_garden,none,instagram,"pump,lights",8.3,641.2,1,0.4266559016179883,42.7,Medium
186,L0187,Rostaq,64.9,farm,agriculture,none,local_ad,pump,8.1,586.8,1,0.7471080609764544,74.7,High
187,L0188,Jamsi,17.8,garden_house,seasonal_garden,none,referral,"lights,fridge,TV",6.4,380.7,0,0.42318908123176774,42.3,Medium
188,L0189,Banouj,12.7,farm,agriculture,none,instagram,"pump,fridge",8.5,651.1,1,0.7650056611072955,76.5,High
189,L0190,Tizab,13.6,garden_house,mixed_use,none,referral,"AC,fridge",10.3,596.8,1,0.5418418437958751,54.2,Medium
190,L0191,Morvarid,32.2,rural_house,mixed_use,none,referral,"AC,fridge",9.5,466.1,1,0.5642332029357866,56.4,Medium
191,L0192,Dabiran,70.9,farm,agriculture,none,instagram,"pump,lights",7.6,524.7,1,0.6445493547309625,64.5,Medium
192,L0193,Khosouyeh,46.3,garden_house,seasonal_garden,none,local_ad,"AC,fridge,lights",10.6,564.2,0,0.2269035151538433,22.7,Low
193,L0194,Jamsi,18.5,farm,agriculture,none,referral,pump,8.9,526.2,1,0.8610619012938926,86.1,High
194,L0195,Badameh,66.7,farm,agriculture,none,referral,pump,7.0,459.6,1,0.8259730969441361,82.6,High
195,L0196,Bakhtajerd,18.6,farm,agriculture,none,,pump,8.9,583.6,1,0.8684927694161448,86.8,High
196,L0197,Hasan Abad,15.2,garden_house,seasonal_garden,none,returning_customer,"lights,fridge",4.2,267.4,0,0.5990250073475353,59.9,Medium
197,L0198,Tizab,13.8,garden_house,seasonal_garden,unstable,referral,lights,1.9,162.1,0,0.2664970577195833,26.6,Low
198,L0199,Zarrindasht,66.3,farm,mixed_use,none,instagram,"pump,AC",13.5,648.2,0,0.7611536781355133,76.1,High
199,L0200,Sangcharak,10.9,farm,agriculture,none,local_ad,pump,7.3,576.0,1,0.8192340636628351,81.9,High
200,L0201,Hasan Abad,12.9,rural_house,primary_residence,none,referral,"lights,fridge,TV",5.1,316.2,1,0.6553330409461776,65.5,Medium
201,L0202,Sangcharak,9.1,farm,agriculture,none,local_ad,pump,7.4,542.9,1,0.8144307082602017,81.4,High
202,L0203,Bargan,11.7,garden_house,mixed_use,none,,"lights,fridge",4.0,234.0,1,0.7139114405175294,71.4,High
203,L0204,Dabiran,68.3,rural_house,primary_residence,none,referral,"AC,fridge,lights",12.1,624.9,0,0.501972041573083,50.2,Medium
204,L0205,Tizab,17.8,garden_house,seasonal_garden,none,referral,"lights,fridge",4.1,267.5,0,0.5077722555450338,50.8,Medium
205,L0206,Tizab,16.6,farm,mixed_use,unstable,referral,"pump,AC",16.3,779.4,0,0.8533471841096034,85.3,High
206,L0207,Pasakhan,30.9,farm,agriculture,unstable,referral,"lights,fridge,TV",5.0,296.7,1,0.8133143733793672,81.3,High
